lon,lat,alt
18.657785918414138, 54.373439125744895, 1 
18.658110704638275, 54.37503668158538, 1
18.65744308851088, 54.37641347260375, 1
18.6565950355923, 54.377590539764924, 1
18.655783070031955, 54.377685124054054, 1
18.654411750418927, 54.37599308329614, 1
18.653545653821226, 54.37503668158538, 1
18.652968256089427, 54.37413280894261, 1
18.653545653821226, 54.37503668158538, 1
18.654411750418927, 54.37599308329614, 1
18.655783070031955, 54.377685124054054, 1
18.6565950355923, 54.377590539764924, 1
18.65744308851088, 54.37641347260375, 1
18.658110704638275, 54.37503668158538, 1
18.657785918414138, 54.373439125744895, 1
